Starting training on Pendulum-v1...
Episode: 243, Steps: 200, Sigma: 0.957, Reward: -1676.03
Episode: 244, Steps: 200, Sigma: 0.957, Reward: -1556.29
Episode: 245, Steps: 200, Sigma: 0.957, Reward: -1560.15
Episode: 246, Steps: 200, Sigma: 0.957, Reward: -1567.68
Episode: 247, Steps: 200, Sigma: 0.957, Reward: -1646.75
Episode: 248, Steps: 200, Sigma: 0.956, Reward: -1576.75
Episode: 249, Steps: 200, Sigma: 0.956, Reward: -1688.51
Episode: 250, Steps: 200, Sigma: 0.956, Reward: -1581.16
Episode: 251, Steps: 200, Sigma: 0.956, Reward: -1681.55
Episode: 252, Steps: 200, Sigma: 0.956, Reward: -1622.63
Episode: 253, Steps: 200, Sigma: 0.956, Reward: -1634.12
Episode: 254, Steps: 200, Sigma: 0.955, Reward: -1667.78
Episode: 255, Steps: 200, Sigma: 0.955, Reward: -1690.01
Episode: 256, Steps: 200, Sigma: 0.955, Reward: -1554.00
Episode: 257, Steps: 200, Sigma: 0.955, Reward: -1593.74
Episode: 258, Steps: 200, Sigma: 0.955, Reward: -1666.28
Episode: 259, Steps: 200, Sigma: 0.955, Reward: -1690.31
Episode: 260, Steps: 200, Sigma: 0.954, Reward: -1615.29
Episode: 261, Steps: 200, Sigma: 0.954, Reward: -1604.43
Episode: 262, Steps: 200, Sigma: 0.954, Reward: -1603.55
Episode: 263, Steps: 200, Sigma: 0.954, Reward: -1568.09
Episode: 264, Steps: 200, Sigma: 0.954, Reward: -1603.01
Episode: 265, Steps: 200, Sigma: 0.954, Reward: -1654.84
Episode: 266, Steps: 200, Sigma: 0.953, Reward: -1655.78
Episode: 267, Steps: 200, Sigma: 0.953, Reward: -1542.62
Episode: 268, Steps: 200, Sigma: 0.953, Reward: -1642.45
Episode: 269, Steps: 200, Sigma: 0.953, Reward: -1668.06
Episode: 270, Steps: 200, Sigma: 0.953, Reward: -1651.80
Episode: 271, Steps: 200, Sigma: 0.953, Reward: -1606.14
Episode: 272, Steps: 200, Sigma: 0.952, Reward: -1667.35
Episode: 273, Steps: 200, Sigma: 0.952, Reward: -1618.93
Episode: 274, Steps: 200, Sigma: 0.952, Reward: -1602.01
Episode: 275, Steps: 200, Sigma: 0.952, Reward: -1689.76
Episode: 276, Steps: 200, Sigma: 0.952, Reward: -1607.00
Episode: 277, Steps: 200, Sigma: 0.951, Reward: -1600.24
Episode: 278, Steps: 200, Sigma: 0.951, Reward: -1683.43
Episode: 279, Steps: 200, Sigma: 0.951, Reward: -1663.67
Episode: 280, Steps: 200, Sigma: 0.951, Reward: -1668.19
Episode: 281, Steps: 200, Sigma: 0.951, Reward: -1589.83
Episode: 282, Steps: 200, Sigma: 0.951, Reward: -1597.43
Episode: 283, Steps: 200, Sigma: 0.950, Reward: -1621.71
Episode: 284, Steps: 200, Sigma: 0.950, Reward: -1597.31
Episode: 285, Steps: 200, Sigma: 0.950, Reward: -1592.60
Episode: 286, Steps: 200, Sigma: 0.950, Reward: -1664.53
Episode: 287, Steps: 200, Sigma: 0.950, Reward: -1679.94
Episode: 288, Steps: 200, Sigma: 0.950, Reward: -1579.12
Episode: 289, Steps: 200, Sigma: 0.949, Reward: -1587.91
Episode: 290, Steps: 200, Sigma: 0.949, Reward: -1597.57
Episode: 291, Steps: 200, Sigma: 0.949, Reward: -1598.11
Episode: 292, Steps: 200, Sigma: 0.949, Reward: -1598.42
Episode: 293, Steps: 200, Sigma: 0.949, Reward: -1615.94
Episode: 294, Steps: 200, Sigma: 0.949, Reward: -1653.56
Episode: 295, Steps: 200, Sigma: 0.948, Reward: -1644.39
Episode: 296, Steps: 200, Sigma: 0.948, Reward: -1591.87
Episode: 297, Steps: 200, Sigma: 0.948, Reward: -1594.06
Episode: 298, Steps: 200, Sigma: 0.948, Reward: -1580.92
Episode: 299, Steps: 200, Sigma: 0.948, Reward: -1599.77
Episode: 300, Steps: 200, Sigma: 0.948, Reward: -1670.88
Episode: 301, Steps: 200, Sigma: 0.947, Reward: -1587.67
Episode: 302, Steps: 200, Sigma: 0.947, Reward: -1520.37
Episode: 303, Steps: 200, Sigma: 0.947, Reward: -1608.19
Episode: 304, Steps: 200, Sigma: 0.947, Reward: -1618.15
Episode: 305, Steps: 200, Sigma: 0.947, Reward: -1675.73
Episode: 306, Steps: 200, Sigma: 0.947, Reward: -1644.00
Episode: 307, Steps: 200, Sigma: 0.946, Reward: -1674.01
Episode: 308, Steps: 200, Sigma: 0.946, Reward: -1626.55
Episode: 309, Steps: 200, Sigma: 0.946, Reward: -1645.91
Episode: 310, Steps: 200, Sigma: 0.946, Reward: -1577.93
Episode: 311, Steps: 200, Sigma: 0.946, Reward: -1623.51
Episode: 312, Steps: 200, Sigma: 0.946, Reward: -1658.73
Episode: 313, Steps: 200, Sigma: 0.945, Reward: -1653.37
Episode: 314, Steps: 200, Sigma: 0.945, Reward: -1689.58
Episode: 315, Steps: 200, Sigma: 0.945, Reward: -1651.09
Episode: 316, Steps: 200, Sigma: 0.945, Reward: -1544.74
Episode: 317, Steps: 200, Sigma: 0.945, Reward: -1621.96
Episode: 318, Steps: 200, Sigma: 0.945, Reward: -1616.03
Episode: 319, Steps: 200, Sigma: 0.944, Reward: -1684.03
Episode: 320, Steps: 200, Sigma: 0.944, Reward: -1539.93
Episode: 321, Steps: 200, Sigma: 0.944, Reward: -1656.11
Episode: 322, Steps: 200, Sigma: 0.944, Reward: -1656.05
Episode: 323, Steps: 200, Sigma: 0.944, Reward: -1652.12
Episode: 324, Steps: 200, Sigma: 0.944, Reward: -1573.21
Episode: 325, Steps: 200, Sigma: 0.943, Reward: -1626.87
Episode: 326, Steps: 200, Sigma: 0.943, Reward: -1588.84
Episode: 327, Steps: 200, Sigma: 0.943, Reward: -1604.10
Episode: 328, Steps: 200, Sigma: 0.943, Reward: -1601.50
Episode: 329, Steps: 200, Sigma: 0.943, Reward: -1675.83
Episode: 330, Steps: 200, Sigma: 0.943, Reward: -1583.30
Episode: 331, Steps: 200, Sigma: 0.942, Reward: -1608.85
Episode: 332, Steps: 200, Sigma: 0.942, Reward: -1678.33
Episode: 333, Steps: 200, Sigma: 0.942, Reward: -1606.49
Episode: 334, Steps: 200, Sigma: 0.942, Reward: -1577.13
Episode: 335, Steps: 200, Sigma: 0.942, Reward: -1553.12
Episode: 336, Steps: 200, Sigma: 0.942, Reward: -1619.58
Episode: 337, Steps: 200, Sigma: 0.941, Reward: -1670.50
Episode: 338, Steps: 200, Sigma: 0.941, Reward: -1572.52
Episode: 339, Steps: 200, Sigma: 0.941, Reward: -1620.69
Episode: 340, Steps: 200, Sigma: 0.941, Reward: -1609.36
Episode: 341, Steps: 200, Sigma: 0.941, Reward: -1638.62
Episode: 342, Steps: 200, Sigma: 0.940, Reward: -1628.50
Episode: 343, Steps: 200, Sigma: 0.940, Reward: -1656.36
Episode: 344, Steps: 200, Sigma: 0.940, Reward: -1676.99
Episode: 345, Steps: 200, Sigma: 0.940, Reward: -1668.67
Episode: 346, Steps: 200, Sigma: 0.940, Reward: -1625.87
Episode: 347, Steps: 200, Sigma: 0.940, Reward: -1654.99
Episode: 348, Steps: 200, Sigma: 0.939, Reward: -1560.47
Episode: 349, Steps: 200, Sigma: 0.939, Reward: -1680.21
Episode: 350, Steps: 200, Sigma: 0.939, Reward: -1616.75
Episode: 351, Steps: 200, Sigma: 0.939, Reward: -1628.71
Episode: 352, Steps: 200, Sigma: 0.939, Reward: -1558.96
Episode: 353, Steps: 200, Sigma: 0.939, Reward: -1606.03
Episode: 354, Steps: 200, Sigma: 0.938, Reward: -1598.20
Episode: 355, Steps: 200, Sigma: 0.938, Reward: -1615.37
Episode: 356, Steps: 200, Sigma: 0.938, Reward: -1610.88
Episode: 357, Steps: 200, Sigma: 0.938, Reward: -1678.24
Episode: 358, Steps: 200, Sigma: 0.938, Reward: -1641.92
Episode: 359, Steps: 200, Sigma: 0.938, Reward: -1594.16
Episode: 360, Steps: 200, Sigma: 0.937, Reward: -1667.76
Episode: 361, Steps: 200, Sigma: 0.937, Reward: -1567.52
Episode: 362, Steps: 200, Sigma: 0.937, Reward: -1602.81
Episode: 363, Steps: 200, Sigma: 0.937, Reward: -1640.48
Episode: 364, Steps: 200, Sigma: 0.937, Reward: -1636.83
Episode: 365, Steps: 200, Sigma: 0.937, Reward: -1615.55
Episode: 366, Steps: 200, Sigma: 0.936, Reward: -1660.58
Episode: 367, Steps: 200, Sigma: 0.936, Reward: -1628.72
Episode: 368, Steps: 200, Sigma: 0.936, Reward: -1601.19
Episode: 369, Steps: 200, Sigma: 0.936, Reward: -1615.15
Episode: 370, Steps: 200, Sigma: 0.936, Reward: -1605.72
