Starting training on Pendulum-v1...
State Dim: 3, Action Dim: 1, Max Action: 2.0
Episode: 396, Steps: 200, Total Reward: -1622.56
Episode: 397, Steps: 200, Total Reward: -1683.72
Episode: 398, Steps: 200, Total Reward: -1576.76
Episode: 399, Steps: 200, Total Reward: -1565.13
Episode: 400, Steps: 200, Total Reward: -1676.50
Episode: 401, Steps: 200, Total Reward: -1570.20
Episode: 402, Steps: 200, Total Reward: -1614.64
Episode: 403, Steps: 200, Total Reward: -1689.27
Episode: 404, Steps: 200, Total Reward: -1611.06
Episode: 405, Steps: 200, Total Reward: -1585.72
Episode: 406, Steps: 200, Total Reward: -1649.66
Episode: 407, Steps: 200, Total Reward: -1646.30
Episode: 408, Steps: 200, Total Reward: -1601.70
Episode: 409, Steps: 200, Total Reward: -1612.52
Episode: 410, Steps: 200, Total Reward: -1592.77
Episode: 411, Steps: 200, Total Reward: -1606.33
Episode: 412, Steps: 200, Total Reward: -1590.53
Episode: 413, Steps: 200, Total Reward: -1589.85
Episode: 414, Steps: 200, Total Reward: -1637.94
Episode: 415, Steps: 200, Total Reward: -1648.29
Episode: 416, Steps: 200, Total Reward: -1603.86
Episode: 417, Steps: 200, Total Reward: -1437.42
Episode: 418, Steps: 200, Total Reward: -1586.52
Episode: 419, Steps: 200, Total Reward: -1628.60
Episode: 420, Steps: 200, Total Reward: -1595.18
Episode: 421, Steps: 200, Total Reward: -1573.71
Episode: 422, Steps: 200, Total Reward: -1646.03
Episode: 423, Steps: 200, Total Reward: -1623.15
Episode: 424, Steps: 200, Total Reward: -1599.82
Episode: 425, Steps: 200, Total Reward: -1593.70
Episode: 426, Steps: 200, Total Reward: -1635.90
Episode: 427, Steps: 200, Total Reward: -1658.85
Episode: 428, Steps: 200, Total Reward: -1594.16
Episode: 429, Steps: 200, Total Reward: -1584.09
Episode: 430, Steps: 200, Total Reward: -1596.92
Episode: 431, Steps: 200, Total Reward: -1682.84
Episode: 432, Steps: 200, Total Reward: -1611.32
Episode: 433, Steps: 200, Total Reward: -1683.32
Episode: 434, Steps: 200, Total Reward: -1641.41
Episode: 435, Steps: 200, Total Reward: -1685.52
Episode: 436, Steps: 200, Total Reward: -1619.01
Episode: 437, Steps: 200, Total Reward: -1577.69
Episode: 438, Steps: 200, Total Reward: -1586.94
Episode: 439, Steps: 200, Total Reward: -1632.30
Episode: 440, Steps: 200, Total Reward: -1600.02
Episode: 441, Steps: 200, Total Reward: -1631.52
Episode: 442, Steps: 200, Total Reward: -1668.52
Episode: 443, Steps: 200, Total Reward: -1578.50
Episode: 444, Steps: 200, Total Reward: -1646.51
Episode: 445, Steps: 200, Total Reward: -1610.74
Episode: 446, Steps: 200, Total Reward: -1665.79
Episode: 447, Steps: 200, Total Reward: -1633.11
Episode: 448, Steps: 200, Total Reward: -1630.73
Episode: 449, Steps: 200, Total Reward: -1575.20
Episode: 450, Steps: 200, Total Reward: -1598.10
Episode: 451, Steps: 200, Total Reward: -1609.66
Episode: 452, Steps: 200, Total Reward: -1558.37
Episode: 453, Steps: 200, Total Reward: -1650.99
Episode: 454, Steps: 200, Total Reward: -1619.74
Episode: 455, Steps: 200, Total Reward: -1602.38
Episode: 456, Steps: 200, Total Reward: -1671.18
Episode: 457, Steps: 200, Total Reward: -1570.23
Episode: 458, Steps: 200, Total Reward: -1581.16
Episode: 459, Steps: 200, Total Reward: -1617.85
Episode: 460, Steps: 200, Total Reward: -1648.78
Episode: 461, Steps: 200, Total Reward: -1571.58
Episode: 462, Steps: 200, Total Reward: -1620.45
Episode: 463, Steps: 200, Total Reward: -1658.83
Episode: 464, Steps: 200, Total Reward: -1677.72
Episode: 465, Steps: 200, Total Reward: -1632.23
Episode: 466, Steps: 200, Total Reward: -1678.87
Episode: 467, Steps: 200, Total Reward: -1599.08
Episode: 468, Steps: 200, Total Reward: -1657.53
Episode: 469, Steps: 200, Total Reward: -1550.89
Episode: 470, Steps: 200, Total Reward: -1623.77
Episode: 471, Steps: 200, Total Reward: -1628.35
Episode: 472, Steps: 200, Total Reward: -1629.30
Episode: 473, Steps: 200, Total Reward: -1571.25
Episode: 474, Steps: 200, Total Reward: -1556.96
Episode: 475, Steps: 200, Total Reward: -1594.03
Episode: 476, Steps: 200, Total Reward: -1601.92
Episode: 477, Steps: 200, Total Reward: -1592.72
Episode: 478, Steps: 200, Total Reward: -1592.12
Episode: 479, Steps: 200, Total Reward: -1594.67
Episode: 480, Steps: 200, Total Reward: -1595.23
Episode: 481, Steps: 200, Total Reward: -1651.60
Episode: 482, Steps: 200, Total Reward: -1576.25
Episode: 483, Steps: 200, Total Reward: -1593.44
Episode: 484, Steps: 200, Total Reward: -1629.36
Episode: 485, Steps: 200, Total Reward: -1632.06
Episode: 486, Steps: 200, Total Reward: -1534.74
Episode: 487, Steps: 200, Total Reward: -1551.44
Episode: 488, Steps: 200, Total Reward: -1604.25
Episode: 489, Steps: 200, Total Reward: -1613.66
Episode: 490, Steps: 200, Total Reward: -1669.07
Episode: 491, Steps: 200, Total Reward: -1622.83
Episode: 492, Steps: 200, Total Reward: -1587.08
Episode: 493, Steps: 200, Total Reward: -1680.97
Episode: 494, Steps: 200, Total Reward: -1574.15
Episode: 495, Steps: 200, Total Reward: -1620.62
Episode: 496, Steps: 200, Total Reward: -1626.21
Episode: 497, Steps: 200, Total Reward: -1623.51
Episode: 498, Steps: 200, Total Reward: -1619.40
Episode: 499, Steps: 200, Total Reward: -1668.60
Episode: 500, Steps: 200, Total Reward: -1601.62
Episode: 501, Steps: 200, Total Reward: -1685.92
Episode: 502, Steps: 200, Total Reward: -1623.91
Episode: 503, Steps: 200, Total Reward: -1582.48
Episode: 504, Steps: 200, Total Reward: -1602.84
Episode: 505, Steps: 200, Total Reward: -1640.57
Episode: 506, Steps: 200, Total Reward: -1626.34
Episode: 507, Steps: 200, Total Reward: -1612.78
Episode: 508, Steps: 200, Total Reward: -1643.83
Episode: 509, Steps: 200, Total Reward: -1586.16
Episode: 510, Steps: 200, Total Reward: -1557.65
Episode: 511, Steps: 200, Total Reward: -1680.95
Episode: 512, Steps: 200, Total Reward: -1601.54
Episode: 513, Steps: 200, Total Reward: -1676.96
Episode: 514, Steps: 200, Total Reward: -1669.49
Episode: 515, Steps: 200, Total Reward: -1573.23
Episode: 516, Steps: 200, Total Reward: -1640.73
Episode: 517, Steps: 200, Total Reward: -1588.19
Episode: 518, Steps: 200, Total Reward: -1666.01
Episode: 519, Steps: 200, Total Reward: -1605.67
Episode: 520, Steps: 200, Total Reward: -1604.85
Episode: 521, Steps: 200, Total Reward: -1572.27
Episode: 522, Steps: 200, Total Reward: -1577.60
Episode: 523, Steps: 200, Total Reward: -1572.20
Episode: 524, Steps: 200, Total Reward: -1605.73
Episode: 525, Steps: 200, Total Reward: -1652.05
Episode: 526, Steps: 200, Total Reward: -1636.50
Episode: 527, Steps: 200, Total Reward: -1547.31
