Starting training on Pendulum-v1...
Episode: 481, Steps: 200, Total Reward: -884.90
Episode: 482, Steps: 200, Total Reward: -1385.33
Episode: 483, Steps: 200, Total Reward: -1082.06
Episode: 484, Steps: 200, Total Reward: -766.03
Episode: 485, Steps: 200, Total Reward: -1631.90
Episode: 486, Steps: 200, Total Reward: -1391.54
Episode: 487, Steps: 200, Total Reward: -1183.16
Episode: 488, Steps: 200, Total Reward: -1004.34
Episode: 489, Steps: 200, Total Reward: -1626.08
Episode: 490, Steps: 200, Total Reward: -970.72
Episode: 491, Steps: 200, Total Reward: -941.60
Episode: 492, Steps: 200, Total Reward: -865.62
Episode: 493, Steps: 200, Total Reward: -1185.84
Episode: 494, Steps: 200, Total Reward: -767.28
Episode: 495, Steps: 200, Total Reward: -1075.58
Episode: 496, Steps: 200, Total Reward: -1216.72
Episode: 497, Steps: 200, Total Reward: -1075.65
Episode: 498, Steps: 200, Total Reward: -1246.39
Episode: 499, Steps: 200, Total Reward: -1158.16
Episode: 500, Steps: 200, Total Reward: -1194.63
Episode: 501, Steps: 200, Total Reward: -1036.57
Episode: 502, Steps: 200, Total Reward: -1193.31
Episode: 503, Steps: 200, Total Reward: -989.68
Episode: 504, Steps: 200, Total Reward: -1460.09
Episode: 505, Steps: 200, Total Reward: -1723.46
Episode: 506, Steps: 200, Total Reward: -1038.54
Episode: 507, Steps: 200, Total Reward: -1294.01
Episode: 508, Steps: 200, Total Reward: -1082.09
Episode: 509, Steps: 200, Total Reward: -1080.50
Episode: 510, Steps: 200, Total Reward: -1490.82
Episode: 511, Steps: 200, Total Reward: -1099.84
Episode: 512, Steps: 200, Total Reward: -1291.00
Episode: 513, Steps: 200, Total Reward: -1266.59
Episode: 514, Steps: 200, Total Reward: -958.35
Episode: 515, Steps: 200, Total Reward: -1447.06
Episode: 516, Steps: 200, Total Reward: -1151.75
Episode: 517, Steps: 200, Total Reward: -1158.93
Episode: 518, Steps: 200, Total Reward: -1066.40
Episode: 519, Steps: 200, Total Reward: -1293.30
Episode: 520, Steps: 200, Total Reward: -1630.17
Episode: 521, Steps: 200, Total Reward: -1300.93
Episode: 522, Steps: 200, Total Reward: -1178.02
Episode: 523, Steps: 200, Total Reward: -1152.66
Episode: 524, Steps: 200, Total Reward: -1201.32
Episode: 525, Steps: 200, Total Reward: -1381.37
Episode: 526, Steps: 200, Total Reward: -1676.66
Episode: 527, Steps: 200, Total Reward: -1426.67
Episode: 528, Steps: 200, Total Reward: -1569.28
Episode: 529, Steps: 200, Total Reward: -1279.38
Episode: 530, Steps: 200, Total Reward: -1252.31
Episode: 531, Steps: 200, Total Reward: -1174.49
Episode: 532, Steps: 200, Total Reward: -1633.88
Episode: 533, Steps: 200, Total Reward: -1237.29
Episode: 534, Steps: 200, Total Reward: -1756.24
Episode: 535, Steps: 200, Total Reward: -1458.97
Episode: 536, Steps: 200, Total Reward: -882.85
Episode: 537, Steps: 200, Total Reward: -1632.07
